n_lines,mean_angle,std_angle,mean_abs_angle,mean_length,max_length,left_count,right_count,balance_lr,center_bottom,center_error,vanishing_x,vanishing_error,confidence,omega_true,oracle_confidence,frame_ts_ns
40.0,0.04932473599910736,0.6478877663612366,0.45618921518325806,102.37265014648438,286.7629699707031,18.0,22.0,0.1,309.0492957746479,-0.03422095070422539,328.46746826171875,0.026460838317871094,1.0,-0.040291104618733184,0.75,1779451115963765014
44.0,0.11974541656949186,0.614016541332889,0.4199259004329269,97.0577392578125,309.1876525878906,22.0,22.0,0.0,308.4276351351352,-0.036163640202702574,279.6788330078125,-0.12600364685058593,1.0,-0.051167501813163235,0.75,1779451115996564105
50.0,0.07487270059307115,0.5970495942022874,0.40153728811313405,81.87063598632812,273.1226806640625,24.0,26.0,0.04,314.5490032133255,-0.017034364958357882,274.16009521484375,-0.1432497024536133,1.0,-0.07034161546228343,0.75,1779451116029448690
43.0,0.13148771211527688,0.6217339639316609,0.4377992793209527,100.41992950439453,281.1138610839844,20.0,23.0,0.06976744186046512,309.1615872685667,-0.03387003978572913,276.8301086425781,-0.13490591049194336,1.0,-0.05115836750178137,0.75,1779451116062927659
42.0,0.0551723875105381,0.6172704100608826,0.41232791543006897,99.50262451171875,281.1138610839844,21.0,21.0,0.0,309.1507177033493,-0.033904007177033436,272.4268798828125,-0.14866600036621094,1.0,-0.04392631210464511,0.75,1779451116096505774
44.0,0.08909172723769347,0.6014339577681153,0.39269334909951703,96.37946319580078,288.9186706542969,21.0,23.0,0.045454545454545456,308.8595675675675,-0.03481385135135149,382.05255126953125,0.19391422271728515,1.0,-0.04244415825931557,0.75,1779451116131741796
45.0,0.04192882406071045,0.6127630110119552,0.4000435897693556,88.26412200927734,288.17529296875,26.0,19.0,-0.15555555555555556,310.3042838757125,-0.030299112888398483,248.17999267578125,-0.22443752288818358,1.0,-0.046394883045051634,0.75,1779451116162361740
48.0,0.14690029540139968,0.6019396607826711,0.39200241169622574,80.82166290283203,255.6188507080078,24.0,24.0,0.0,314.1,-0.01843749999999993,280.28118896484375,-0.12412128448486329,1.0,-0.04912573147347546,1.0,1779451116195798081
48.0,0.16657305920439355,0.6051262602524305,0.44317900420730205,86.82617950439453,289.587646484375,22.0,26.0,0.08333333333333333,308.5705785123967,-0.03571694214876029,275.0,-0.140625,1.0,-0.04936748672508112,0.75,1779451116236840709
43.0,0.10270024247230365,0.6162128336266391,0.41947641267269037,98.63915252685547,311.3326110839844,22.0,21.0,-0.023255813953488372,311.08392011266164,-0.02786274964793236,378.13104248046875,0.18165950775146483,1.0,-0.04704207129953093,0.75,1779451116271598352
